Category,Allocated UUID,Allocated for,,,,,
16-bit UUID for Members,0xFE85,RF Digital Corp,,,,,
16-bit UUID for Members,0xFE86,"HUAWEI Technologies Co., Ltd. ( 华为技术有限公司 )",,,,,
16-bit UUID for Members,0xFE87,( 青岛亿联客信息技术有限公司 ),,,,,
16-bit UUID for Members,0xFE88,SALTO SYSTEMS S.L.,,,,,
16-bit UUID for Members,0xFE89,B&O Play A/S,,,,,
16-bit UUID for Members,0xFE8A,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFE8B,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFE8C,TRON Forum,,,,,
16-bit UUID for Members,0xFE8D,Interaxon Inc.,,,,,
16-bit UUID for Members,0xFE8E,ARM Ltd,,,,,
16-bit UUID for Members,0xFE8F,CSR,,,,,
16-bit UUID for Members,0xFE90,JUMA,,,,,
16-bit UUID for Members,0xFE91,"Shanghai Imilab Technology Co.,Ltd",,,,,
16-bit UUID for Members,0xFE92,Jarden Safety & Security,,,,,
16-bit UUID for Members,0xFE93,OttoQ In,,,,,
16-bit UUID for Members,0xFE94,OttoQ In,,,,,
16-bit UUID for Members,0xFE95,Xiaomi Inc.,,,,,
16-bit UUID for Members,0xFE96,Tesla Motors Inc.,,,,,
16-bit UUID for Members,0xFE97,Tesla Motors Inc.,,,,,
16-bit UUID for Members,0xFE98,Currant Inc,,,,,
16-bit UUID for Members,0xFE99,Currant Inc,,,,,
16-bit UUID for Members,0xFE9A,Estimote,,,,,
16-bit UUID for Members,0xFE9B,"Samsara Networks, Inc",,,,,
16-bit UUID for Members,0xFE9C,"GSI Laboratories, Inc.",,,,,
16-bit UUID for Members,0xFE9D,Mobiquity Networks Inc,,,,,
16-bit UUID for Members,0xFE9E,Dialog Semiconductor B.V.,,,,,
16-bit UUID for Members,0xFE9F,Google,,,,,
16-bit UUID for Members,0xFEA0,Google,,,,,
16-bit UUID for Members,0xFEA1,"Intrepid Control Systems, Inc.",,,,,
16-bit UUID for Members,0xFEA2,"Intrepid Control Systems, Inc.",,,,,
16-bit UUID for Members,0xFEA3,ITT Industries,,,,,
16-bit UUID for Members,0xFEA4,Paxton Access Ltd,,,,,
16-bit UUID for Members,0xFEA5,"GoPro, Inc.",,,,,
16-bit UUID for Members,0xFEA6,"GoPro, Inc.",,,,,
16-bit UUID for Members,0xFEA7,UTC Fire and Security,,,,,
16-bit UUID for Members,0xFEA8,Savant Systems LLC,,,,,
16-bit UUID for Members,0xFEA9,Savant Systems LLC,,,,,
16-bit UUID for Members,0xFEAA,Google,,,,,
16-bit UUID for Members,0xFEAB,Nokia,,,,,
16-bit UUID for Members,0xFEAC,Nokia,,,,,
16-bit UUID for Members,0xFEAD,Nokia,,,,,
16-bit UUID for Members,0xFEAE,Nokia,,,,,
16-bit UUID for Members,0xFEAF,Nest Labs Inc,,,,,
16-bit UUID for Members,0xFEB0,Nest Labs Inc,,,,,
16-bit UUID for Members,0xFEB1,Electronics Tomorrow Limited,,,,,
16-bit UUID for Members,0xFEB2,Microsoft Corporation,,,,,
16-bit UUID for Members,0xFEB3,Taobao,,,,,
16-bit UUID for Members,0xFEB4,WiSilica Inc.,,,,,
16-bit UUID for Members,0xFEB5,WiSilica Inc.,,,,,
16-bit UUID for Members,0xFEB6,"Vencer Co., Ltd",,,,,
16-bit UUID for Members,0xFEB7,"Facebook, Inc.",,,,,
16-bit UUID for Members,0xFEB8,"Facebook, Inc.",,,,,
16-bit UUID for Members,0xFEB9,LG Electronics,,,,,
16-bit UUID for Members,0xFEBA,Tencent Holdings Limited,,,,,
16-bit UUID for Members,0xFEBB,adafruit industries,,,,,
16-bit UUID for Members,0xFEBC,Dexcom Inc,,,,,
16-bit UUID for Members,0xFEBD,"Clover Network, Inc",,,,,
16-bit UUID for Members,0xFEBE,Bose Corporation,,,,,
16-bit UUID for Members,0xFEBF,"Nod, Inc.",,,,,
16-bit UUID for Members,0xFEC0,KDDI Corporation,,,,,
16-bit UUID for Members,0xFEC1,KDDI Corporation,,,,,
16-bit UUID for Members,0xFEC2,"Blue Spark Technologies, Inc.",,,,,
16-bit UUID for Members,0xFEC3,"360fly, Inc.",,,,,
16-bit UUID for Members,0xFEC4,PLUS Location Systems,,,,,
16-bit UUID for Members,0xFEC5,Realtek Semiconductor Corp.,,,,,
16-bit UUID for Members,0xFEC6,"Kocomojo, LLC",,,,,
16-bit UUID for Members,0xFEC7,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFEC8,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFEC9,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFECA,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFECB,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFECC,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFECD,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFECE,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFECF,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFED0,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFED1,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFED2,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFED3,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFED4,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFED5,Plantronics Inc.,,,,,
16-bit UUID for Members,0xFED6,Broadcom,,,,,
16-bit UUID for Members,0xFED7,Broadcom,,,,,
16-bit UUID for Members,0xFED8,Google,,,,,
16-bit UUID for Members,0xFED9,Pebble Technology Corporation,,,,,
16-bit UUID for Members,0xFEDA,ISSC Technologies Corp.,,,,,
16-bit UUID for Members,0xFEDB,"Perka, Inc.",,,,,
16-bit UUID for Members,0xFEDC,Jawbone,,,,,
16-bit UUID for Members,0xFEDD,Jawbone,,,,,
16-bit UUID for Members,0xFEDE,"Coin, Inc.",,,,,
16-bit UUID for Members,0xFEDF,Design SHIFT,,,,,
16-bit UUID for Members,0xFEE0,"Anhui Huami Information Technology Co., Ltd.",,,,,
16-bit UUID for Members,0xFEE1,"Anhui Huami Information Technology Co., Ltd.",,,,,
16-bit UUID for Members,0xFEE2,"Anki, Inc.",,,,,
16-bit UUID for Members,0xFEE3,"Anki, Inc.",,,,,
16-bit UUID for Members,0xFEE4,Nordic Semiconductor ASA,,,,,
16-bit UUID for Members,0xFEE5,Nordic Semiconductor ASA,,,,,
16-bit UUID for Members,0xFEE6,"Silvair, Inc.",,,,,
16-bit UUID for Members,0xFEE7,Tencent Holdings Limited.,,,,,
16-bit UUID for Members,0xFEE8,Quintic Corp.,,,,,
16-bit UUID for Members,0xFEE9,Quintic Corp.,,,,,
16-bit UUID for Members,0xFEEA,"Swirl Networks, Inc.",,,,,
16-bit UUID for Members,0xFEEB,"Swirl Networks, Inc.",,,,,
16-bit UUID for Members,0xFEEC,"Tile, Inc.",,,,,
16-bit UUID for Members,0xFEED,"Tile, Inc.",,,,,
16-bit UUID for Members,0xFEEE,Polar Electro Oy,,,,,
16-bit UUID for Members,0xFEEF,Polar Electro Oy,,,,,
16-bit UUID for Members,0xFEF0,Intel,,,,,
16-bit UUID for Members,0xFEF1,CSR,,,,,
16-bit UUID for Members,0xFEF2,CSR,,,,,
16-bit UUID for Members,0xFEF3,Google,,,,,
16-bit UUID for Members,0xFEF4,Google,,,,,
16-bit UUID for Members,0xFEF5,Dialog Semiconductor GmbH,,,,,
16-bit UUID for Members,0xFEF6,"Wicentric, Inc.",,,,,
16-bit UUID for Members,0xFEF7,Aplix Corporation,,,,,
16-bit UUID for Members,0xFEF8,Aplix Corporation,,,,,
16-bit UUID for Members,0xFEF9,"PayPal, Inc.",,,,,
16-bit UUID for Members,0xFEFA,"PayPal, Inc.",,,,,
16-bit UUID for Members,0xFEFB,Telit Wireless Solutions (Formerly Stollmann E+V GmbH),,,,,
16-bit UUID for Members,0xFEFC,"Gimbal, Inc.",,,,,
16-bit UUID for Members,0xFEFD,"Gimbal, Inc.",,,,,
16-bit UUID for Members,0xFEFE,GN ReSound A/S,,,,,
16-bit UUID for Members,0xFEFF,GN Netcom,,,,,
GATT Characteristic and Object Type,0x2A00,Device Name,,,,,
GATT Characteristic and Object Type,0x2A01,Appearance,,,,,
GATT Characteristic and Object Type,0x2A02,Peripheral Privacy Flag,,,,,
GATT Characteristic and Object Type,0x2A03,Reconnection Address,,,,,
GATT Characteristic and Object Type,0x2A04,Peripheral Preferred Connection Parameters,,,,,
GATT Characteristic and Object Type,0x2A05,Service Changed,,,,,
GATT Characteristic and Object Type,0x2A06,Alert Level,,,,,
GATT Characteristic and Object Type,0x2A07,Tx Power Level,,,,,
GATT Characteristic and Object Type,0x2A08,Date Time,,,,,
GATT Characteristic and Object Type,0x2A09,Day of Week,,,,,
GATT Characteristic and Object Type,0x2A0A,Day Date Time,,,,,
GATT Characteristic and Object Type,0x2A0C,Exact Time 256,,,,,
GATT Characteristic and Object Type,0x2A0D,DST Offset,,,,,
GATT Characteristic and Object Type,0x2A0E,Time Zone,,,,,
GATT Characteristic and Object Type,0x2A0F,Local Time Information,,,,,
GATT Characteristic and Object Type,0x2A11,Time with DST,,,,,
GATT Characteristic and Object Type,0x2A12,Time Accuracy,,,,,
GATT Characteristic and Object Type,0x2A13,Time Source,,,,,
GATT Characteristic and Object Type,0x2A14,Reference Time Information,,,,,
GATT Characteristic and Object Type,0x2A16,Time Update Control Point,,,,,
GATT Characteristic and Object Type,0x2A17,Time Update State,,,,,
GATT Characteristic and Object Type,0x2A18,Glucose Measurement,,,,,
GATT Characteristic and Object Type,0x2A19,Battery Level,,,,,
GATT Characteristic and Object Type,0x2A1C,Temperature Measurement,,,,,
GATT Characteristic and Object Type,0x2A1D,Temperature Type,,,,,
GATT Characteristic and Object Type,0x2A1E,Intermediate Temperature,,,,,
GATT Characteristic and Object Type,0x2A21,Measurement Interval,,,,,
GATT Characteristic and Object Type,0x2A22,Boot Keyboard Input Report,,,,,
GATT Characteristic and Object Type,0x2A23,System ID,,,,,
GATT Characteristic and Object Type,0x2A24,Model Number String,,,,,
GATT Characteristic and Object Type,0x2A25,Serial Number String,,,,,
GATT Characteristic and Object Type,0x2A26,Firmware Revision String,,,,,
GATT Characteristic and Object Type,0x2A27,Hardware Revision String,,,,,
GATT Characteristic and Object Type,0x2A28,Software Revision String,,,,,
GATT Characteristic and Object Type,0x2A29,Manufacturer Name String,,,,,
GATT Characteristic and Object Type,0x2A2A,IEEE 11073-20601 Regulatory Certification Data List,,,,,
GATT Characteristic and Object Type,0x2A2B,Current Time,,,,,
GATT Characteristic and Object Type,0x2A31,Scan Refresh,,,,,
GATT Characteristic and Object Type,0x2A32,Boot Keyboard Output Report,,,,,
GATT Characteristic and Object Type,0x2A33,Boot Mouse Input Report,,,,,
GATT Characteristic and Object Type,0x2A34,Glucose Measurement Context,,,,,
GATT Characteristic and Object Type,0x2A35,Blood Pressure Measurement,,,,,
GATT Characteristic and Object Type,0x2A36,Intermediate Cuff Pressure,,,,,
GATT Characteristic and Object Type,0x2A37,Heart Rate Measurement,,,,,
GATT Characteristic and Object Type,0x2A38,Body Sensor Location,,,,,
GATT Characteristic and Object Type,0x2A39,Heart Rate Control Point,,,,,
GATT Characteristic and Object Type,0x2A3F,Alert Status,,,,,
GATT Characteristic and Object Type,0x2A40,Ringer Control Point,,,,,
GATT Characteristic and Object Type,0x2A41,Ringer Setting,,,,,
GATT Characteristic and Object Type,0x2A42,Alert Category ID Bit Mask,,,,,
GATT Characteristic and Object Type,0x2A43,Alert Category ID,,,,,
GATT Characteristic and Object Type,0x2A44,Alert Notification Control Point,,,,,
GATT Characteristic and Object Type,0x2A45,Unread Alert Status,,,,,
GATT Characteristic and Object Type,0x2A46,New Alert,,,,,
GATT Characteristic and Object Type,0x2A47,Supported New Alert Category,,,,,
GATT Characteristic and Object Type,0x2A48,Supported Unread Alert Category,,,,,
GATT Characteristic and Object Type,0x2A49,Blood Pressure Feature,,,,,
GATT Characteristic and Object Type,0x2A4A,HID Information,,,,,
GATT Characteristic and Object Type,0x2A4B,Report Map,,,,,
GATT Characteristic and Object Type,0x2A4C,HID Control Point,,,,,
GATT Characteristic and Object Type,0x2A4D,Report,,,,,
GATT Characteristic and Object Type,0x2A4E,Protocol Mode,,,,,
GATT Characteristic and Object Type,0x2A4F,Scan Interval Window,,,,,
GATT Characteristic and Object Type,0x2A50,PnP ID,,,,,
GATT Characteristic and Object Type,0x2A51,Glucose Feature,,,,,
GATT Characteristic and Object Type,0x2A52,Record Access Control Point,,,,,
GATT Characteristic and Object Type,0x2A53,RSC Measurement,,,,,
GATT Characteristic and Object Type,0x2A54,RSC Feature,,,,,
GATT Characteristic and Object Type,0x2A55,SC Control Point,,,,,
GATT Characteristic and Object Type,0x2A5A,Aggregate,,,,,
GATT Characteristic and Object Type,0x2A5B,CSC Measurement,,,,,
GATT Characteristic and Object Type,0x2A5C,CSC Feature,,,,,
GATT Characteristic and Object Type,0x2A5D,Sensor Location,,,,,
GATT Characteristic and Object Type,0x2A5E,PLX Spot-Check Measurement,,,,,
GATT Characteristic and Object Type,0x2A5F,PLX Continuous Measurement,,,,,
GATT Characteristic and Object Type,0x2A60,PLX Features,,,,,
GATT Characteristic and Object Type,0x2A63,Cycling Power Measurement,,,,,
GATT Characteristic and Object Type,0x2A64,Cycling Power Vector,,,,,
GATT Characteristic and Object Type,0x2A65,Cycling Power Feature,,,,,
GATT Characteristic and Object Type,0x2A66,Cycling Power Control Point,,,,,
GATT Characteristic and Object Type,0x2A67,Location and Speed,,,,,
GATT Characteristic and Object Type,0x2A68,Navigation,,,,,
GATT Characteristic and Object Type,0x2A69,Position Quality,,,,,
GATT Characteristic and Object Type,0x2A6A,LN Feature,,,,,
GATT Characteristic and Object Type,0x2A6B,LN Control Point,,,,,
GATT Characteristic and Object Type,0x2A6C,Elevation,,,,,
GATT Characteristic and Object Type,0x2A6D,Pressure,,,,,
GATT Characteristic and Object Type,0x2A6E,Temperature,,,,,
GATT Characteristic and Object Type,0x2A6F,Humidity,,,,,
GATT Characteristic and Object Type,0x2A70,True Wind Speed,,,,,
GATT Characteristic and Object Type,0x2A71,True Wind Direction,,,,,
GATT Characteristic and Object Type,0x2A72,Apparent Wind Speed,,,,,
GATT Characteristic and Object Type,0x2A73,Apparent Wind Direction,,,,,
GATT Characteristic and Object Type,0x2A74,Gust Factor,,,,,
GATT Characteristic and Object Type,0x2A75,Pollen Concentration,,,,,
GATT Characteristic and Object Type,0x2A76,UV Index,,,,,
GATT Characteristic and Object Type,0x2A77,Irradiance,,,,,
GATT Characteristic and Object Type,0x2A78,Rainfall,,,,,
GATT Characteristic and Object Type,0x2A79,Wind Chill,,,,,
GATT Characteristic and Object Type,0x2A7A,Heat Index,,,,,
GATT Characteristic and Object Type,0x2A7B,Dew Point,,,,,
GATT Characteristic and Object Type,0x2A7D,Descriptor Value Changed,,,,,
GATT Characteristic and Object Type,0x2A7E,Aerobic Heart Rate Lower Limit,,,,,
GATT Characteristic and Object Type,0x2A7F,Aerobic Threshold,,,,,
GATT Characteristic and Object Type,0x2A80,Age,,,,,
GATT Characteristic and Object Type,0x2A81,Anaerobic Heart Rate Lower Limit,,,,,
GATT Characteristic and Object Type,0x2A82,Anaerobic Heart Rate Upper Limit,,,,,
GATT Characteristic and Object Type,0x2A83,Anaerobic Threshold,,,,,
GATT Characteristic and Object Type,0x2A84,Aerobic Heart Rate Upper Limit,,,,,
GATT Characteristic and Object Type,0x2A85,Date of Birth,,,,,
GATT Characteristic and Object Type,0x2A86,Date of Threshold Assessment,,,,,
GATT Characteristic and Object Type,0x2A87,Email Address,,,,,
GATT Characteristic and Object Type,0x2A88,Fat Burn Heart Rate Lower Limit,,,,,
GATT Characteristic and Object Type,0x2A89,Fat Burn Heart Rate Upper Limit,,,,,
GATT Characteristic and Object Type,0x2A8A,First Name,,,,,
GATT Characteristic and Object Type,0x2A8B,Five Zone Heart Rate Limits,,,,,
GATT Characteristic and Object Type,0x2A8C,Gender,,,,,
GATT Characteristic and Object Type,0x2A8D,Heart Rate Max,,,,,
GATT Characteristic and Object Type,0x2A8E,Height,,,,,
GATT Characteristic and Object Type,0x2A8F,Hip Circumference,,,,,
GATT Characteristic and Object Type,0x2A90,Last Name,,,,,
GATT Characteristic and Object Type,0x2A91,Maximum Recommended Heart Rate,,,,,
GATT Characteristic and Object Type,0x2A92,Resting Heart Rate,,,,,
GATT Characteristic and Object Type,0x2A93,Sport Type for Aerobic and Anaerobic Thresholds,,,,,
GATT Characteristic and Object Type,0x2A94,Three Zone Heart Rate Limits,,,,,
GATT Characteristic and Object Type,0x2A95,Two Zone Heart Rate Limits,,,,,
GATT Characteristic and Object Type,0x2A96,VO2 Max,,,,,
GATT Characteristic and Object Type,0x2A97,Waist Circumference,,,,,
GATT Characteristic and Object Type,0x2A98,Weight,,,,,
GATT Characteristic and Object Type,0x2A99,Database Change Increment,,,,,
GATT Characteristic and Object Type,0x2A9A,User Index,,,,,
GATT Characteristic and Object Type,0x2A9B,Body Composition Feature,,,,,
GATT Characteristic and Object Type,0x2A9C,Body Composition Measurement,,,,,
GATT Characteristic and Object Type,0x2A9D,Weight Measurement,,,,,
GATT Characteristic and Object Type,0x2A9E,Weight Scale Feature,,,,,
GATT Characteristic and Object Type,0x2A9F,User Control Point,,,,,
GATT Characteristic and Object Type,0x2AA0,Magnetic Flux Density - 2D,,,,,
GATT Characteristic and Object Type,0x2AA1,Magnetic Flux Density - 3D,,,,,
GATT Characteristic and Object Type,0x2AA2,Language,,,,,
GATT Characteristic and Object Type,0x2AA3,Barometric Pressure Trend,,,,,
GATT Characteristic and Object Type,0x2AA4,Bond Management Control Point,,,,,
GATT Characteristic and Object Type,0x2AA5,Bond Management Feature,,,,,
GATT Characteristic and Object Type,0x2AA6,Central Address Resolution,,,,,
GATT Characteristic and Object Type,0x2AA7,CGM Measurement,,,,,
GATT Characteristic and Object Type,0x2AA8,CGM Feature,,,,,
GATT Characteristic and Object Type,0x2AA9,CGM Status,,,,,
GATT Characteristic and Object Type,0x2AAA,CGM Session Start Time,,,,,
GATT Characteristic and Object Type,0x2AAB,CGM Session Run Time,,,,,
GATT Characteristic and Object Type,0x2AAC,CGM Specific Ops Control Point,,,,,
GATT Characteristic and Object Type,0x2AAD,Indoor Positioning Configuration,,,,,
GATT Characteristic and Object Type,0x2AAE,Latitude,,,,,
GATT Characteristic and Object Type,0x2AAF,Longitude,,,,,
GATT Characteristic and Object Type,0x2AB0,Local North Coordinate,,,,,
GATT Characteristic and Object Type,0x2AB1,Local East Coordinate,,,,,
GATT Characteristic and Object Type,0x2AB2,Floor Number,,,,,
GATT Characteristic and Object Type,0x2AB3,Altitude,,,,,
GATT Characteristic and Object Type,0x2AB4,Uncertainty,,,,,
GATT Characteristic and Object Type,0x2AB5,Location Name,,,,,
GATT Characteristic and Object Type,0x2AB6,URI,,,,,
GATT Characteristic and Object Type,0x2AB7,HTTP Headers,,,,,
GATT Characteristic and Object Type,0x2AB8,HTTP Status Code,,,,,
GATT Characteristic and Object Type,0x2AB9,HTTP Entity Body,,,,,
GATT Characteristic and Object Type,0x2ABA,HTTP Control Point,,,,,
GATT Characteristic and Object Type,0x2ABB,HTTPS Security,,,,,
GATT Characteristic and Object Type,0x2ABC,TDS Control Point,,,,,
GATT Characteristic and Object Type,0x2ABD,OTS Feature,,,,,
GATT Characteristic and Object Type,0x2ABE,object name,,,,,
GATT Characteristic and Object Type,0x2ABF,object type,,,,,
GATT Characteristic and Object Type,0x2AC0,object size,,,,,
GATT Characteristic and Object Type,0x2AC1,object first created,,,,,
GATT Characteristic and Object Type,0x2AC2,object last modified,,,,,
GATT Characteristic and Object Type,0x2AC3,object ID,,,,,
GATT Characteristic and Object Type,0x2AC4,object properties,,,,,
GATT Characteristic and Object Type,0x2AC5,object actioncontrol point,,,,,
GATT Characteristic and Object Type,0x2AC6,object list control point,,,,,
GATT Characteristic and Object Type,0x2AC7,object list filter,,,,,
GATT Characteristic and Object Type,0x2AC8,object changed,,,,,
GATT Characteristic and Object Type,0x2AC9,Resolvable Private Address Only,,,,,
GATT Characteristic and Object Type,0x2ACA,Unspecified,,,,,
GATT Characteristic and Object Type,0x2ACB,Directory Listing,,,,,
GATT Characteristic and Object Type,0x2ACC,Fitness Machine Feature,,,,,
GATT Characteristic and Object Type,0x2ACD,Treadmill Data,,,,,
GATT Characteristic and Object Type,0x2ACE,Cross Trainer Data,,,,,
GATT Characteristic and Object Type,0x2ACF,Step Climber Data,,,,,
GATT Characteristic and Object Type,0x2AD0,Stair Climber Data,,,,,
GATT Characteristic and Object Type,0x2AD1,Rower Data,,,,,
GATT Characteristic and Object Type,0x2AD2,Indoor Bike Data,,,,,
GATT Characteristic and Object Type,0x2AD3,Training Status,,,,,
GATT Characteristic and Object Type,0x2AD4,Supported Speed Range,,,,,
GATT Characteristic and Object Type,0x2AD5,Supported Inclination Range,,,,,
GATT Characteristic and Object Type,0x2AD6,Supported Resistance Level Range,,,,,
GATT Characteristic and Object Type,0x2AD7,Supported Heart Rate Range,,,,,
GATT Characteristic and Object Type,0x2AD8,Supported Power Range,,,,,
GATT Characteristic and Object Type,0x2AD9,Fitness Machine Control Point,,,,,
GATT Characteristic and Object Type,0x2ADA,Fitness Machine Status,,,,,
GATT Characteristic and Object Type,0x2ADB,Mesh Provisioning Data In,,,,,
GATT Characteristic and Object Type,0X2ADC,Mesh Provisioning Data Out,,,,,
GATT Characteristic and Object Type,0X2ADD,Mesh Proxy Data In,,,,,
GATT Characteristic and Object Type,0X2ADE,Mesh Proxy Data Out,,,,,
GATT Characteristic and Object Type,0X2AE0,Average Current,,,,,
GATT Characteristic and Object Type,0X2AE1,Average Voltage,,,,,
GATT Characteristic and Object Type,0X2AE2,Boolean,,,,,
GATT Characteristic and Object Type,0X2AE3,Chromatic Distance From Planckian,,,,,
GATT Characteristic and Object Type,0X2AE4,Chromaticity Coordinates,,,,,
GATT Characteristic and Object Type,0X2AE5,Chromaticity in CCT And Duv Values,,,,,
GATT Characteristic and Object Type,0X2AE6,Chromaticity Tolerance,,,,,
GATT Characteristic and Object Type,0X2AE7,CIE 13.3-1995 Color Rendering Index,,,,,
GATT Characteristic and Object Type,0X2AE8,Coefficient,,,,,
GATT Characteristic and Object Type,0X2AE9,Correlated Color Temperature,,,,,
GATT Characteristic and Object Type,0X2AEA,Count 16,,,,,
GATT Characteristic and Object Type,0X2AEB,Count 24,,,,,
GATT Characteristic and Object Type,0X2AEC,Country Code,,,,,
GATT Characteristic and Object Type,0X2AED,Date UTC,,,,,
GATT Characteristic and Object Type,0X2AEE,Electric Current,,,,,
GATT Characteristic and Object Type,0X2AEF,Electric Current Range,,,,,
GATT Characteristic and Object Type,0X2AF0,Electric Current Specification,,,,,
GATT Characteristic and Object Type,0X2AF1,Electric Current Statistics,,,,,
GATT Characteristic and Object Type,0X2AF2,Energy,,,,,
GATT Characteristic and Object Type,0X2AF3,Energy In A Period Of Day,,,,,
GATT Characteristic and Object Type,0X2AF4,Event Statistics,,,,,
GATT Characteristic and Object Type,0X2AF5,Fixed String 16,,,,,
GATT Characteristic and Object Type,0X2AF6,Fixed String 24,,,,,
GATT Characteristic and Object Type,0X2AF7,Fixed String 36,,,,,
GATT Characteristic and Object Type,0X2AF8,Fixed String 8,,,,,
GATT Characteristic and Object Type,0X2AF9,Generic Level,,,,,
GATT Characteristic and Object Type,0X2AFA,Global Trade Item Number,,,,,
GATT Characteristic and Object Type,0X2AFB,Illuminance,,,,,
GATT Characteristic and Object Type,0X2AFC,Luminous Efficacy,,,,,
GATT Characteristic and Object Type,0X2AFD,Luminous Energy,,,,,
GATT Characteristic and Object Type,0X2AFE,Luminous Exposure,,,,,
GATT Characteristic and Object Type,0X2AFF,Luminous Flux,,,,,
GATT Characteristic and Object Type,0x2B00,Luminous Flux Range,,,,,
GATT Characteristic and Object Type,0x2B01,Luminous Intensity,,,,,
GATT Characteristic and Object Type,0x2B02,Mass Flow,,,,,
GATT Characteristic and Object Type,0x2B03,Perceived Lightness,,,,,
GATT Characteristic and Object Type,0x2B04,Percentage 8,,,,,
GATT Characteristic and Object Type,0x2B05,Power,,,,,
GATT Characteristic and Object Type,0x2B06,Power Specification,,,,,
GATT Characteristic and Object Type,0x2B07,Relative Runtime In A Current Range,,,,,
GATT Characteristic and Object Type,0x2B08,Relative Runtime In A Generic Level Range,,,,,
GATT Characteristic and Object Type,0x2B09,Relative Value In A Voltage Range,,,,,
GATT Characteristic and Object Type,0x2B0A,Relative Value In An Illuminance Range,,,,,
GATT Characteristic and Object Type,0x2B0B,Relative Value In A Period Of Day,,,,,
GATT Characteristic and Object Type,0x2B0C,Relative Value In A Temperature Range,,,,,
GATT Characteristic and Object Type,0x2B0D,Temperature 8,,,,,
GATT Characteristic and Object Type,0x2B0E,Temperature 8 In A Period Of Day,,,,,
GATT Characteristic and Object Type,0x2B0F,Temperature 8 Statistics,,,,,
GATT Characteristic and Object Type,0x2B10,Temperature Range,,,,,
GATT Characteristic and Object Type,0x2B11,Temperature Statistics,,,,,
GATT Characteristic and Object Type,0x2B12,Time Decihour 8,,,,,
GATT Characteristic and Object Type,0x2B13,Time Exponential 8,,,,,
GATT Characteristic and Object Type,0x2B14,Time Hour 24,,,,,
GATT Characteristic and Object Type,0x2B15,Time Millisecond 24,,,,,
GATT Characteristic and Object Type,0x2B16,Time Second 16,,,,,
GATT Characteristic and Object Type,0x2B17,Time Second 8,,,,,
GATT Characteristic and Object Type,0x2B18,Voltage,,,,,
GATT Characteristic and Object Type,0x2B19,Voltage Specification,,,,,
GATT Characteristic and Object Type,0x2B1A,Voltage Statistics,,,,,
GATT Characteristic and Object Type,0x2B1B,Volume Flow,,,,,
GATT Characteristic and Object Type,0x2B1C,Chromaticity Coordinate,,,,,
GATT Characteristic and Object Type,0x2B1D,RC Feature,,,,,
GATT Characteristic and Object Type,0x2B1E,RC Settings,,,,,
GATT Characteristic and Object Type,0x2B1F,Reconnection Configuration Control Point,,,,,
GATT Characteristic and Object Type,0x2B20,IDD Status Changed,,,,,
GATT Characteristic and Object Type,0x2B21,IDD Status,,,,,
GATT Characteristic and Object Type,0x2B22,IDD Annunciation Status,,,,,
GATT Characteristic and Object Type,0x2B23,IDD Features,,,,,
GATT Characteristic and Object Type,0x2B24,IDD Status Reader Control Point,,,,,
GATT Characteristic and Object Type,0x2B25,IDD Command Control Point,,,,,
GATT Characteristic and Object Type,0x2B26,IDD Command Data,,,,,
GATT Characteristic and Object Type,0x2B27,IDD Record Access Control Point,,,,,
GATT Characteristic and Object Type,0x2B28,IDD History Data,,,,,
GATT Characteristic and Object Type,0x2B29,Client Supported Features,,,,,
GATT Characteristic and Object Type,0x2B2A,Database Hash,,,,,
GATT Characteristic and Object Type,0x2B2B,BSS Control Point,,,,,
GATT Characteristic and Object Type,0x2B2C,BSS Response,,,,,
GATT Characteristic and Object Type,0x2B2D,Emergency ID,,,,,
GATT Characteristic and Object Type,0x2B2E,Emergency Text,,,,,
GATT Characteristic and Object Type,0x2B34,Enhanced Blood Pressure Measurement,,,,,
GATT Characteristic and Object Type,0x2B35,Enhanced Intermediate Cuff Pressure,,,,,
GATT Characteristic and Object Type,0x2B36,Blood Pressure Record,,,,,
GATT Characteristic and Object Type,0x2B38,BR-EDR Handover Data,,,,,
GATT Characteristic and Object Type,0x2B39,Bluetooth SIG Data,,,,,
GATT Characteristic and Object Type,0x2B3A,Server Supported Features,,,,,
GATT Characteristic and Object Type,0x2B3B,Physical Activity Monitor Features,,,,,
GATT Characteristic and Object Type,0x2B3C,General Activity Instantaneous Data,,,,,
GATT Characteristic and Object Type,0x2B3D,General Activity Summary Data,,,,,
